miRNA_ID,read_count,reads_per_million_miRNA_mapped,cross-mapped
hsa-let-7a-1,30869,6051.282112,N
hsa-let-7a-2,30775,6032.855194,N
hsa-let-7a-3,30891,6055.594794,N
hsa-let-7b,16720,3277.638955,N
hsa-let-7c,4251,833.327942,N
hsa-let-7d,1904,373.243096,N
hsa-let-7e,3840,752.759186,N
hsa-let-7f-1,16371,3209.224123,N
hsa-let-7f-2,16672,3268.229465,N
hsa-let-7g,3456,677.483267,N
hsa-let-7i,1822,357.168551,N
hsa-mir-100,48526,9512.602149,Y
hsa-mir-101-1,30590,5996.589452,N
hsa-mir-101-2,30917,6060.691601,N
hsa-mir-103a-1,217546,42645.76819,Y
hsa-mir-103a-2,218506,42833.957986,Y
hsa-mir-103b-1,0,0,N
hsa-mir-103b-2,0,0,N
hsa-mir-105-1,393,77.040198,N
hsa-mir-105-2,375,73.511639,N
hsa-mir-106a,166,32.541152,Y
hsa-mir-106b,3523,690.617347,N
hsa-mir-107,1448,283.852943,Y
hsa-mir-10a,74631,14629.992396,N
hsa-mir-10b,150619,29525.99891,N
hsa-mir-1-1,41,8.037273,N
hsa-mir-1178,0,0,N
hsa-mir-1179,1,0.196031,N
hsa-mir-1180,142,27.836407,N
hsa-mir-1181,2,0.392062,N
hsa-mir-1182,0,0,N
hsa-mir-1183,0,0,N
hsa-mir-1184-1,0,0,N
hsa-mir-1184-2,0,0,N
hsa-mir-1184-3,0,0,N
hsa-mir-1185-1,1,0.196031,N
hsa-mir-1185-2,3,0.588093,N
hsa-mir-1193,0,0,N
hsa-mir-1197,0,0,N
hsa-mir-1199,0,0,N
hsa-mir-1-2,34,6.665055,N
hsa-mir-1200,0,0,N
hsa-mir-1202,0,0,N
hsa-mir-1203,0,0,N
hsa-mir-1204,0,0,N
hsa-mir-1205,0,0,N
hsa-mir-1206,0,0,N
hsa-mir-1207,0,0,N
hsa-mir-1208,0,0,N
hsa-mir-122,73349,14378.680605,N
hsa-mir-1224,0,0,N
hsa-mir-1225,0,0,N
hsa-mir-1226,13,2.548403,N
hsa-mir-1227,1,0.196031,N
hsa-mir-1228,6,1.176186,N
hsa-mir-1229,5,0.980155,N
hsa-mir-1231,0,0,N
hsa-mir-1233-1,0,0,N
hsa-mir-1233-2,0,0,N
hsa-mir-1234,1,0.196031,N
hsa-mir-1236,0,0,N
hsa-mir-1237,0,0,N
hsa-mir-1238,0,0,N
hsa-mir-124-1,0,0,N
hsa-mir-124-2,0,0,N
hsa-mir-1243,0,0,N
hsa-mir-124-3,0,0,N
hsa-mir-1244-1,0,0,N
hsa-mir-1244-2,0,0,N
hsa-mir-1244-3,0,0,N
hsa-mir-1244-4,0,0,N
hsa-mir-1245a,2,0.392062,N
hsa-mir-1245b,0,0,N
hsa-mir-1246,0,0,N
hsa-mir-1247,382,74.883857,N
hsa-mir-1248,4,0.784124,N
hsa-mir-1249,8,1.568248,N
hsa-mir-1250,0,0,N
hsa-mir-1251,1,0.196031,N
hsa-mir-1252,0,0,N
hsa-mir-1253,0,0,N
hsa-mir-1254-1,0,0,N
hsa-mir-1254-2,0,0,N
hsa-mir-1255a,0,0,N
hsa-mir-1255b-1,0,0,N
hsa-mir-1255b-2,0,0,N
hsa-mir-1256,0,0,N
hsa-mir-1257,0,0,N
hsa-mir-1258,3,0.588093,N
hsa-mir-125a,2118,415.193738,N
hsa-mir-125b-1,1280,250.919729,N
hsa-mir-125b-2,1350,264.641901,N
hsa-mir-126,33923,6649.960902,N
hsa-mir-1260a,0,0,N
hsa-mir-1260b,0,0,N
hsa-mir-1261,0,0,N
hsa-mir-1262,0,0,N
hsa-mir-1263,0,0,N
hsa-mir-1264,0,0,N
hsa-mir-1265,0,0,N
hsa-mir-1266,14,2.744435,N
hsa-mir-1267,1,0.196031,N
hsa-mir-1268a,0,0,N
hsa-mir-1268b,0,0,N
hsa-mir-1269a,28,5.488869,N
hsa-mir-1269b,3088,605.343845,N
hsa-mir-127,4148,813.136746,N
hsa-mir-1270,5,0.980155,N
hsa-mir-1271,19,3.72459,N
hsa-mir-1272,0,0,N
hsa-mir-1273a,0,0,N
hsa-mir-1273c,0,0,N
hsa-mir-1273d,0,0,N
hsa-mir-1273e,0,0,N
hsa-mir-1273f,0,0,N
hsa-mir-1273g,0,0,N
hsa-mir-1273h,0,0,N
hsa-mir-1275,4,0.784124,N
hsa-mir-1276,3,0.588093,N
hsa-mir-1277,4,0.784124,N
hsa-mir-1278,0,0,N
hsa-mir-1279,0,0,N
hsa-mir-1281,0,0,N
hsa-mir-128-1,780,152.90421,N
hsa-mir-1282,0,0,N
hsa-mir-128-2,528,103.504388,N
hsa-mir-1283-1,4,0.784124,N
hsa-mir-1283-2,27,5.292838,Y
hsa-mir-1284,1,0.196031,N
hsa-mir-1285-1,0,0,N
hsa-mir-1285-2,0,0,N
hsa-mir-1286,0,0,N
hsa-mir-1287,106,20.77929,N
hsa-mir-1288,1,0.196031,N
hsa-mir-1289-1,0,0,N
hsa-mir-1289-2,0,0,N
hsa-mir-1290,0,0,N
hsa-mir-1291,5,0.980155,N
hsa-mir-129-1,6,1.176186,N
hsa-mir-1292,6,1.176186,N
hsa-mir-129-2,5,0.980155,N
hsa-mir-1293,1,0.196031,N
hsa-mir-1294,0,0,N
hsa-mir-1295a,4,0.784124,N
hsa-mir-1295b,25,4.900776,N
hsa-mir-1296,46,9.017428,N
hsa-mir-1297,0,0,N
hsa-mir-1298,8,1.568248,N
hsa-mir-1299,0,0,N
hsa-mir-1301,70,13.722173,N
hsa-mir-1302-1,0,0,N
hsa-mir-1302-10,0,0,N
hsa-mir-1302-11,0,0,N
hsa-mir-1302-2,0,0,N
hsa-mir-1302-3,0,0,N
hsa-mir-1302-4,0,0,N
hsa-mir-1302-5,0,0,N
hsa-mir-1302-6,0,0,N
hsa-mir-1302-7,0,0,N
hsa-mir-1302-8,0,0,N
hsa-mir-1302-9,0,0,N
hsa-mir-1303,1,0.196031,N
hsa-mir-1304,3,0.588093,N
hsa-mir-1305,0,0,N
hsa-mir-1306,52,10.193614,N
hsa-mir-1307,8334,1633.722671,N
hsa-mir-130a,553,108.405164,N
hsa-mir-130b,237,46.459356,N
hsa-mir-132,542,106.248823,N
hsa-mir-1321,0,0,N
hsa-mir-1322,0,0,N
hsa-mir-1323,38,7.449179,N
hsa-mir-1324,0,0,N
hsa-mir-133a-1,48,9.40949,Y
hsa-mir-133a-2,22,4.312683,N
hsa-mir-133b,6,1.176186,Y
hsa-mir-134,1299,254.644318,N
hsa-mir-1343,12,2.352372,N
hsa-mir-135a-1,3,0.588093,N
hsa-mir-135a-2,1,0.196031,N
hsa-mir-135b,7,1.372217,N
hsa-mir-136,107,20.975321,N
hsa-mir-137,2,0.392062,N
hsa-mir-138-1,10,1.96031,N
hsa-mir-138-2,2,0.392062,N
hsa-mir-139,626,122.71543,N
hsa-mir-140,10943,2145.167649,N
hsa-mir-141,18,3.528559,N
hsa-mir-142,15115,2963.009139,N
hsa-mir-143,606454,118883.807111,N
hsa-mir-144,50,9.801552,N
hsa-mir-145,13505,2647.399168,N
hsa-mir-1468,101,19.799135,N
hsa-mir-1469,0,0,N
hsa-mir-146a,401,78.608446,N
hsa-mir-146b,2253,441.657929,N
hsa-mir-1470,0,0,N
hsa-mir-1471,0,0,N
hsa-mir-147a,0,0,N
hsa-mir-147b,2,0.392062,N
hsa-mir-148a,390051,76462.102398,N
hsa-mir-148b,862,168.978755,N
hsa-mir-149,122,23.915787,N
hsa-mir-150,12055,2363.154163,N
hsa-mir-151a,11835,2320.027335,N
hsa-mir-151b,20,3.920621,N
hsa-mir-152,2935,575.351096,N
hsa-mir-153-1,1,0.196031,N
hsa-mir-153-2,51,9.997583,N
hsa-mir-1537,1,0.196031,N
hsa-mir-1538,0,0,N
hsa-mir-1539,0,0,N
hsa-mir-154,47,9.213459,N
hsa-mir-155,3664,718.257723,N
hsa-mir-1587,0,0,N
hsa-mir-15a,1081,211.909552,N
hsa-mir-15b,1745,342.074161,N
hsa-mir-16-1,1225,240.138022,N
hsa-mir-16-2,1188,232.884873,N
hsa-mir-17,14325,2808.144619,Y
hsa-mir-181a-1,3696,724.530716,N
