SDD ,,,,,,,,,,,,,
Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition,Label,Comment
SEQN,sio:Identifier,??subject,,,,,,,,,,,Respondent sequence number
SDDSRVYR,sio:TimeInterval,??data_release,sio:Year,,,,,,,,,,Data release cycle
BMXWT,chear:Weight,??subject,UO:0000009,??interview,,,,,,,,kilogram,Body Measures (kg)
BMXHT,sio:StatusDescriptor,??subject,UO:0000015,??interview,,,,,,,,centimeter,Standing Height (cm)
BMXWAIST,sio:Circumference,??subject,UO:0000015,??interview,,,,,,,,centimeter,Waist Circumference (cm)
RIAGENDR,sio:BiologicalSex,??subject,UO:0000015,,,,,,,,,centimeter,Gender of the sample person
RIDAGEYR,sio:Age,??subject,UO:0000036,??interview,,,,,,,,year,Age in years of the participant at the time of screening. Individuals 80 and over are topcoded at 80 years of age.
INDFMIN2,chear:Income,??family,,??interview,,,,,,,,,Annual Family Income - Total family income (reported as a range value in dollars)        
RIDRETH1,sio:Race,??subject,,??interview,,,,,,,,,Recode of reported race and ethnicity information
DMDBORN4,,,,??birth,sio:Country,,,??subject,,,,,Country of birth
SLD010H,sio:TimeInterval,??sleep,UO:0000032,,,,,??subject,,,,,How much sleep do you get (hours)?
LBCD07,sio:Concentration,??polychorinate,,,,,,,,,,,"Polychlorinated dibenzo-p-dioxins (PCDDs), Dibenzofurans (PCDFs) & Coplanar Polychlorinated Biphenyls (cPCBs)  -"
??subject,,,,,sio:Human,sio:SubjectRole,,??study,,,,,
??study,,,,,hasco:Study,,,,,,,,
??interview,,,,,"ncit:C16751,ncit:C25305",,,??subject,,,,,
??data_release,,,,??release,sio:Dataset,,,??study,,,,,
??release,,,,,ncit:C48669,,,,,,,,
??birth,,,,,ncit:C25155,,,??subject,,,,,
??citizenship,,,,,heals:Citizenship,,,??subject,,,,,
??residency,,,,,heals:Residency,,,??subject,,,,,
??pregnancy,,,,,heals:Pregnancy,,,??subject,,,,,
??family,,,,,sio:family,,,??subject,,,,,
??sleep,,,,,ncit:C73425,,,??subject,,,,,
??polychorinate,,,,,CHEBI_36682,,,??subject,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
