Column,Code,Label,Class,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
BMXWT,3.1 to 222.6,Range of Values,,,,,,,,,,,,,,,,,,,,,,,
BMXWT,.,Missing,,,,,,,,,,,,,,,,,,,,,,,
BMXHT,79.7 to 202.6,Range of Values,,,,,,,,,,,,,,,,,,,,,,,
BMXHT,.,Missing,,,,,,,,,,,,,,,,,,,,,,,
RIAGENDR,1,Male,sio:Male,,,,,,,,,,,,,,,,,,,,,,
RIAGENDR,2,Female,sio:Female,,,,,,,,,,,,,,,,,,,,,,
RIAGENDR,.,Missing,,,,,,,,,,,,,,,,,,,,,,,
RIDAGEYR,0 to 79,Range of Values,,,,,,,,,,,,,,,,,,,,,,,
RIDAGEYR,80,80 years of age and over,,,,,,,,,,,,,,,,,,,,,,,
RIDAGEYR,.,Missing,,,,,,,,,,,,,,,,,,,,,,,
INDFMIN2,1,"$ 0 to $ 4,999",,,,,,,,,,,,,,,,,,,,,,,
INDFMIN2,2,"$ 5,000 to $ 9,999",,,,,,,,,,,,,,,,,,,,,,,
INDFMIN2,3,"$10,000 to $14,999",,,,,,,,,,,,,,,,,,,,,,,
INDFMIN2,4,"$15,000 to $19,999",,,,,,,,,,,,,,,,,,,,,,,
INDFMIN2,5,"$20,000 to $24,999",,,,,,,,,,,,,,,,,,,,,,,
INDFMIN2,6,"$25,000 to $34,999",,,,,,,,,,,,,,,,,,,,,,,
INDFMIN2,7,"$35,000 to $44,999",,,,,,,,,,,,,,,,,,,,,,,
INDFMIN2,8,"$45,000 to $54,999",,,,,,,,,,,,,,,,,,,,,,,
INDFMIN2,9,"$55,000 to $64,999",,,,,,,,,,,,,,,,,,,,,,,
INDFMIN2,10,"$65,000 to $74,999",,,,,,,,,,,,,,,,,,,,,,,
INDFMIN2,12,"$20,000 and Over",,,,,,,,,,,,,,,,,,,,,,,
INDFMIN2,13,"Under $20,000",,,,,,,,,,,,,,,,,,,,,,,
INDFMIN2,14,"$75,000 to $99,999",,,,,,,,,,,,,,,,,,,,,,,
INDFMIN2,15,"$100,000 and Over",,,,,,,,,,,,,,,,,,,,,,,
INDFMIN2,77,Refused,,,,,,,,,,,,,,,,,,,,,,,
INDFMIN2,99,Don't know,,,,,,,,,,,,,,,,,,,,,,,
INDFMIN2,.,Missing,,,,,,,,,,,,,,,,,,,,,,,
RIDRETH1,1,Mexican American,,,,,,,,,,,,,,,,,,,,,,,
RIDRETH1,2,Other Hispanic,,,,,,,,,,,,,,,,,,,,,,,
RIDRETH1,3,Non-Hispanic White,,,,,,,,,,,,,,,,,,,,,,,
RIDRETH1,4,Non-Hispanic Black,,,,,,,,,,,,,,,,,,,,,,,
RIDRETH1,5,Other Race - Including Multi-Racial,,,,,,,,,,,,,,,,,,,,,,,
RIDRETH1,.,Missing,,,,,,,,,,,,,,,,,,,,,,,
DMDBORN4,1,"Born in 50 US states or Washington, DC",,,,,,,,,,,,,,,,,,,,,,,
DMDBORN4,2,Others,,,,,,,,,,,,,,,,,,,,,,,
DMDBORN4,77,Refused,,,,,,,,,,,,,,,,,,,,,,,
DMDBORN4,99,Don't Know,,,,,,,,,,,,,,,,,,,,,,,
DMDBORN4,.,Missing,,,,,,,,,,,,,,,,,,,,,,,
SLD010H,2 to 11,Range of Values,,,,,,,,,,,,,,,,,,,,,,,
SLD010H,12,12 hours or more,,,,,,,,,,,,,,,,,,,,,,,
SLD010H,77,Refused,,,,,,,,,,,,,,,,,,,,,,,
SLD010H,99,Don't know,,,,,,,,,,,,,,,,,,,,,,,
SLD010H,.,Missing,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
